"key","en","fr","ja","vi","zh"
"core/acl/auth::login.placeholder.username","Enter your username or email address","s'il vous plaît entrez votre nom d'utilisateur","ユーザー名またはメールアドレスを入力してください","Nhập tên đăng nhập hoặc địa chỉ email","输入您的用户名或电子邮件地址"
"core/acl/auth::login.placeholder.email","Enter your email address","Veuillez saisir votre e-mail","メールアドレスを入力してください","Nhập địa chỉ email của bạn","输入您的电子邮件地址"
"core/acl/auth::login.placeholder.password","Enter your password","Enter your password","パスワードを入力してください","Nhập mật khẩu của bạn","输入您的密码"
"core/acl/auth::login.success","Login successfully!","Connectez-vous avec succès !","ログインに成功しました！","Đăng nhập thành công!","登录成功！"
"core/acl/auth::login.fail","Wrong username or password.","Nom d'utilisateur ou mot de passe incorrect.","ユーザー名またはパスワードが間違っています。","Sai tên đăng nhập hoặc mật khẩu.","用户名或密码错误。"
"core/acl/auth::login.not_active","Your account has not been activated yet!","Votre compte n'a pas encore été activé !","あなたのアカウントはまだアクティベートされていません!","Tài khoản của bạn chưa được kích hoạt!","您的账户尚未激活！"
"core/acl/auth::login.banned","This account is banned.","Ce compte est interdit.","このアカウントは禁止されています。","Tài khoản này đã bị khóa.","该账户已被禁止。"
"core/acl/auth::login.logout_success","Logout successfully!","Déconnexion réussie !","ログアウトに成功しました。","Đăng xuất thành công!","注销成功！"
"core/acl/auth::login.dont_have_account","You don't have account on this system, please contact administrator for more information!","Vous n'avez pas de compte sur ce système, veuillez contacter l'administrateur pour plus d'informations !","このシステムにアカウントがありません。詳細については管理者に問い合わせてください。","Bạn không có tài khoản trong hệ thống này, vui lòng liên hệ quản trị viên để biết thêm thông tin!","您在此系统中没有账户，请联系管理员以获取更多信息！"
"core/acl/auth::forgot_password.title","Forgot Password","Mot de passe oublié","パスワードをお忘れですか","Quên mật khẩu","忘记密码"
"core/acl/auth::forgot_password.message","<p>Have you forgotten your password?</p><p>Please enter your email account. System will send a email with active link to reset your password.</p>","<p>Avez-vous oublié votre mot de passe?</p><p>Veuillez entrer votre compte e-mail. Le système enverra un e-mail avec un lien actif pour réinitialiser votre mot de passe.</p>","<p>パスワードをお忘れですか?</p><p>電子メール アカウントを入力してください。システムは、パスワードをリセットするためのアクティブなリンクを含む電子メールを送信します。</p>","<p>Bạn đã quên mật khẩu?</p><p>Vui lòng nhập địa chỉ email của tài khoản. Hệ thống sẽ gửi một email với liên kết kích hoạt để khôi phục mật khẩu của bạn.</p>","<p>您是否忘记了密码？</p><p>请输入您的电子邮件账户。系统将发送一封带有激活链接的电子邮件以重置您的密码。</p>"
"core/acl/auth::forgot_password.submit","Submit","Envoyer","提出する","Gửi","提交"
"core/acl/auth::reset.new_password","New password","Nouveau mot de passe","新しいパスワード","Mật khẩu mới","新密码"
"core/acl/auth::reset.password_confirmation","Confirm new password","Confirmer le nouveau mot de passe","新しいパスワードを確認します","Xác nhận mật khẩu mới","确认新密码"
"core/acl/auth::reset.email","Email","Email","電子メール","Email","电子邮件"
"core/acl/auth::reset.title","Reset your password","réinitialisez votre mot de passe","パスワードをリセットする","Khôi phục mật khẩu của bạn","重置您的密码"
"core/acl/auth::reset.update","Update","Mettre à jour","アップデート","Cập nhật","更新"
"core/acl/auth::reset.wrong_token","This link is invalid or expired. Please try using reset form again.","Ce lien est invalide ou expiré. Veuillez réessayer d'utiliser le formulaire de réinitialisation.","このリンクは無効か期限切れです。もう一度リセットフォームを使用してみてください。","Liên kết này không hợp lệ hoặc đã hết hạn. Vui lòng thử sử dụng biểu mẫu khôi phục lại.","此链接无效或已过期。请尝试再次使用重置表单。"
"core/acl/auth::reset.user_not_found","This username is not exist.","Ce nom d'utilisateur n'existe pas.","このユーザー名は存在しません。","Tên đăng nhập này không tồn tại.","该用户名不存在。"
"core/acl/auth::reset.success","Reset password successfully!","Réinitialisez le mot de passe avec succès !","パスワードのリセットが成功しました!","Khôi phục mật khẩu thành công!","重置密码成功！"
"core/acl/auth::reset.fail","Token is invalid, the reset password link has been expired!","Le Token n'est pas valide, le lien de réinitialisation du mot de passe a expiré !","トークンが無効です。パスワードのリセット リンクの有効期限が切れています。","Token không hợp lệ, liên kết khôi phục mật khẩu đã hết hạn!","令牌无效，重置密码链接已过期！"
"core/acl/auth::reset.reset.title","Email reset password","Mot de passe de réinitialisation de l'e-mail","メールでパスワードをリセット","Email khôi phục mật khẩu","重置密码邮件"
"core/acl/auth::reset.send.success","A email was sent to your email account. Please check and complete this action.","Un e-mail a été envoyé à votre compte de messagerie. Veuillez vérifier et terminer cette action.","電子メールがあなたの電子メール アカウントに送信されました。確認してこのアクションを完了してください。","Một email đã được gửi đến tài khoản email của bạn. Vui lòng kiểm tra và hoàn thành hành động này.","一封电子邮件已发送到您的邮箱。请检查并完成此操作。"
"core/acl/auth::reset.send.fail","Can not send email in this time. Please try again later.","Impossible d'envoyer un e-mail pendant cette période. Veuillez réessayer plus tard.","この時間内にメールを送信できません。後でもう一度試してください。","Không thể gửi email vào lúc này. Vui lòng thử lại sau.","无法在此时发送电子邮件。请稍后再试。"
"core/acl/auth::reset.new-password","New password","Nouveau mot de passe","新しいパスワード","Mật khẩu mới","新密码"
"core/acl/auth::reset.placeholder.new_password","Enter your new password","Enter your new password","新しいパスワードを入力してください","Nhập mật khẩu mới của bạn","输入您的新密码"
"core/acl/auth::reset.placeholder.new_password_confirmation","Confirm your new password","Confirm your new password","新しいパスワードを確認します","Xác nhận mật khẩu mới của bạn","确认您的新密码"
"core/acl/auth::email.reminder.title","Email reset password","Mot de passe de réinitialisation de l'e-mail","メールでパスワードをリセット","Email khôi phục mật khẩu","重置密码邮件"
"core/acl/auth::password_confirmation","Password confirm","Confirmer le mot de passe","パスワードの確認","Xác nhận mật khẩu","密码确认"
"core/acl/auth::failed","Failed","Échoué","失敗した","Thất bại","失败"
"core/acl/auth::throttle","Throttle","Accélérateur","スロットル","Giới hạn","节流阀"
"core/acl/auth::not_member","Not a member yet?","Pas encore membre?","まだメンバーではありませんか?","Chưa là thành viên?","还不是会员吗？"
"core/acl/auth::register_now","Register now","S'inscrire maintenant","今すぐ登録してください","Đăng ký ngay","立即注册"
"core/acl/auth::lost_your_password","Lost your password?","Mot de passe perdu?","パスワードを紛失しましたか?","Quên mật khẩu?","找不到你的密码？"
"core/acl/auth::login_title","Admin","Admin","管理者","Quản trị","管理员"
"core/acl/auth::login_via_social","Login with social networks","Se connecter avec les réseaux sociaux","ソーシャルネットワークでログインする","Đăng nhập với mạng xã hội","使用社交网络登录"
"core/acl/auth::back_to_login","Back to login page","Retour à la page de connexion","ログインページに戻る","Quay lại trang đăng nhập","返回登录页面"
"core/acl/auth::sign_in_below","Sign In Below","S'inscrire ci-dessous","以下からサインインしてください","Đăng nhập bên dưới","在下面登录"
"core/acl/auth::languages","Languages","Languages","言語","Ngôn ngữ","语言"
"core/acl/auth::reset_password","Reset Password","réinitialiser le mot de passe","パスワードのリセット","Khôi phục mật khẩu","重置密码"
"core/acl/auth::deactivated_message","Your account has been deactivated. Please contact the administrator.","Votre compte a été désactivé. Veuillez contacter l'administrateur.","アカウントが無効化されました。管理者にお問い合わせください。","Tài khoản của bạn đã bị vô hiệu hóa. Vui lòng liên hệ quản trị viên.","您的账户已被停用。请联系管理员。"
"core/acl/auth::password_changed_message","Your password has been changed. Please login again with your new password.","Votre mot de passe a été modifié. Veuillez vous reconnecter avec votre nouveau mot de passe.","パスワードが変更されました。新しいパスワードで再度ログインしてください。","Mật khẩu của bạn đã được thay đổi. Vui lòng đăng nhập lại bằng mật khẩu mới.","您的密码已更改。请使用新密码重新登录。"
"core/acl/auth::settings.email.title","ACL","ACL","ACL","ACL","ACL"
"core/acl/auth::settings.email.description","ACL email configuration","ACL email configuration","ACL電子メール設定","Cấu hình email ACL","ACL电子邮件配置"
"core/acl/auth::settings.email.templates.password_reminder.title","Reset password","Reset password","パスワードをリセットする","Khôi phục mật khẩu","重置密码"
"core/acl/auth::settings.email.templates.password_reminder.description","Send email to user when requesting reset password","Send email to user when requesting reset password","パスワードのリセットをリクエストするときにユーザーに電子メールを送信する","Gửi email cho người dùng khi yêu cầu khôi phục mật khẩu","当请求重置密码时向用户发送电子邮件"
"core/acl/auth::settings.email.templates.password_reminder.subject","Reset Password","Reset Password","パスワードのリセット","Khôi phục mật khẩu","重置密码"
"core/acl/auth::settings.email.templates.password_reminder.reset_link","Reset password link","Reset password link","パスワードをリセットするリンク","Liên kết khôi phục mật khẩu","重置密码链接"
"core/acl/auth::settings.email.templates.password_reminder.email_title","Reset Password Instruction","Reset Password Instruction","Reset Password Instruction","Hướng dẫn khôi phục mật khẩu","Reset Password Instruction"
"core/acl/auth::settings.email.templates.password_reminder.email_message","You are receiving this email because we received a password reset request for your account.","You are receiving this email because we received a password reset request for your account.","You are receiving this email because we received a password reset request for your account.","Bạn nhận được email này vì chúng tôi đã nhận được yêu cầu khôi phục mật khẩu cho tài khoản của bạn.","You are receiving this email because we received a password reset request for your account."
"core/acl/auth::settings.email.templates.password_reminder.button_text","Reset password","Reset password","Reset password","Khôi phục mật khẩu","Reset password"
"core/acl/auth::settings.email.templates.password_reminder.trouble_text","If you're having trouble clicking the Reset Password button, copy and paste the URL below into your web browser: <a href=:reset_link>:reset_link</a> and paste it into your browser. If you didn't request a password reset, please ignore this message or contact us if you have any questions.","If you're having trouble clicking the \Reset Password\ button, copy and paste the URL below into your web browser: <a href=\:reset_link\>:reset_link</a> and paste it into your browser. If you didn't request a password reset, please ignore this message or contact us if you have any questions.","If you're having trouble clicking the Reset Password button, copy and paste the URL below into your web browser: <a href=:reset_link>:reset_link</a> and paste it into your browser. If you didn't request a password reset, please ignore this message or contact us if you have any questions.","Nếu bạn gặp khó khăn khi nhấp vào nút Khôi phục mật khẩu, hãy sao chép và dán URL bên dưới vào trình duyệt web của bạn: <a href=:reset_link>:reset_link</a>. Nếu bạn không yêu cầu khôi phục mật khẩu, vui lòng bỏ qua tin nhắn này hoặc liên hệ với chúng tôi nếu bạn có bất kỳ câu hỏi nào.","If you're having trouble clicking the Reset Password button, copy and paste the URL below into your web browser: <a href=:reset_link>:reset_link</a> and paste it into your browser. If you didn't request a password reset, please ignore this message or contact us if you have any questions."
"core/acl/permissions::notices.role_in_use","Cannot delete this role, it is still in use!","Impossible de supprimer ce rôle, il est toujours utilisé !","このロールは削除できません。まだ使用されています。","Không thể xóa quyền người dùng này vì nó đang được sử dụng!","无法删除此角色，它仍在使用中！"
"core/acl/permissions::notices.role_delete_belong_user","You are not able to delete this role; it belongs to someone else!","Vous ne pouvez pas supprimer ce rôle ; il appartient à quelqu'un d'autre !","この役割は削除できません。それは他の人のものです！","Không thể xóa quyền hạn này vì nó thuộc về người khác!","您无法删除此角色；它属于其他人！"
"core/acl/permissions::notices.role_edit_belong_user","You are not able to edit this role; it belongs to someone else!","Vous ne pouvez pas modifier ce rôle ; il appartient à quelqu'un d'autre !","この役割は編集できません。それは他の人のものです！","Bạn không được phép sửa quyền này vì nó thuộc về người khác","您无法编辑此角色；它属于其他人！"
"core/acl/permissions::notices.delete_global_role","You are not allowed to delete global roles!","Vous n'êtes pas autorisé à supprimer des rôles globaux !","グローバル役割を削除することはできません。","Bạn không thể xóa quyền người dùng hệ thống!","您不允许删除全局角色！"
"core/acl/permissions::notices.delete_success","The selected role was deleted successfully!","Le rôle sélectionné a été supprimé avec succès !","選択したロールは正常に削除されました。","Quyền người dùng đã được xóa!","所选角色已成功删除！"
"core/acl/permissions::notices.modified_success","The selected role was modified successfully!","Le rôle sélectionné a été modifié avec succès !","選択したロールは正常に変更されました。","Quyền người dùng đã được cập nhật thành công!","所选角色已成功修改！"
"core/acl/permissions::notices.create_success","The new role was successfully created","Le nouveau rôle a été créé avec succès","新しいロールが正常に作成されました","Quyền người dùng mới đã được tạo thành công!","新角色已成功创建"
"core/acl/permissions::notices.duplicated_success","The selected role was duplicated successfully","Le rôle sélectionné a été dupliqué avec succès","選択したロールは正常に複製されました","Quyền người dùng đã được sao chép thành công!","所选角色已成功复制"
"core/acl/permissions::notices.no_select","Please select at least one record to take this action!","Veuillez sélectionner au moins un enregistrement pour effectuer cette action !","このアクションを実行するには、少なくとも 1 つのレコードを選択してください。","Hãy chọn ít nhất một quyền người dùng để thực hiện hành động này!","请至少选择一条记录以执行此操作！"
"core/acl/permissions::notices.not_found","Role not found","Rôle non trouvé","役割が見つかりません","Không tìm thấy quyền người dùng này","角色未找到"
"core/acl/permissions::name","Name","Nom","名前","Tên","名称"
"core/acl/permissions::current_role","Current Role","Rôle actuel","現在の役割","Quyền hiện tại","当前角色"
"core/acl/permissions::no_role_assigned","No role assigned","Aucun rôle attribué","役割が割り当てられていません","Không có quyền hạn nào","未分配角色"
"core/acl/permissions::role_assigned","Assigned Role","Rôle attribué","割り当てられた役割","Quyền đã được gán","分配的角色"
"core/acl/permissions::create_role","Create New Role","Créer un nouveau rôle","新しい役割の作成","Tạo quyền mới","创建新角色"
"core/acl/permissions::role_name","Name","Nom","名前","Tên","名称"
"core/acl/permissions::role_description","Description","Description","説明","Mô tả","描述"
"core/acl/permissions::permission_flags","Permission Flags","Drapeaux de permission","許可フラグ","Cờ đánh dấu quyền hạn","权限标志"
"core/acl/permissions::cancel","Cancel","Annuler","キャンセル","Hủy bỏ","取消"
"core/acl/permissions::reset","Reset","Réinitialisation","リセット","Làm lại","重置"
"core/acl/permissions::save","Save","Sauvegarder","保存","Lưu","保存"
"core/acl/permissions::global_role_msg","This is a global role and cannot be modified.  You can use the Duplicate button to make a copy of this role that you can then modify.","Il s'agit d'un rôle global qui ne peut pas être modifié.  Vous pouvez utiliser le bouton Dupliquer pour faire une copie de ce rôle que vous pourrez ensuite modifier.","これはグローバルな役割であり、変更できません。  [複製] ボタンを使用してこのロールのコピーを作成し、その後変更できます。","Đây là một phân quyền toàn cục và không thể thay đổi.  Bạn có thể sử dụng nút Nhân bản để tạo một bản sao chép cho phân quyền này và chỉnh sửa.","这是一个全球角色，无法修改。您可以使用复制按钮来创建此角色的副本，然后进行修改。"
"core/acl/permissions::details","Details :name","Details","詳細「:名前」","Chi tiết","细节 :name"
"core/acl/permissions::duplicate","Duplicate","Duplicate","重複","Nhân bản","重复"
"core/acl/permissions::all","All Permissions","Toutes les autorisations","すべての権限","Tất cả phân quyền","所有权限"
"core/acl/permissions::list_role","List Roles","Liste des rôles","役割のリスト","Danh sách quyền","列出角色"
"core/acl/permissions::created_on","Created On","Créé le","作成日","Ngày tạo","创建于"
"core/acl/permissions::created_by","Created By","Créé par","作成者","Được tạo bởi","创建者"
"core/acl/permissions::actions","Actions","Actions","アクション","Tác vụ","动作"
"core/acl/permissions::role_in_use","Cannot delete this role, it is still in use!","Impossible de supprimer ce rôle, il est toujours utilisé !","このロールは削除できません。まだ使用されています。","Không thể xóa quyền người dùng này vì nó đang được sử dụng!","无法删除此角色，它仍在使用中！"
"core/acl/permissions::role_delete_belong_user","You are not able to delete this role; it belongs to someone else!","Vous ne pouvez pas supprimer ce rôle ; il appartient à quelqu'un d'autre !","この役割は削除できません。それは他の人のものです！","Không thể xóa quyền hạn này vì nó thuộc về người khác!","您无法删除此角色；它属于其他人！"
"core/acl/permissions::delete_global_role","Can not delete global role","Impossible de supprimer un rôle global","グローバルロールを削除できません","Không thể xóa quyền hệ thống","无法删除全局角色"
"core/acl/permissions::delete_success","Delete role successfully","Supprimer le rôle avec succès","役割を正常に削除しました","Xóa quyền thành công","删除角色成功"
"core/acl/permissions::no_select","Please select at least one role to take this action!","Veuillez sélectionner au moins un rôle pour entreprendre cette action !","このアクションを実行するには、少なくとも 1 つの役割を選択してください。","Hãy chọn ít nhất một quyền để thực hiện hành động này!","请至少选择一个角色来执行此操作！"
"core/acl/permissions::not_found","No role found!","Aucun rôle trouvé !","役割が見つかりません!","Không tìm thấy quyền thành viên nào!","未找到角色！"
"core/acl/permissions::role_edit_belong_user","You are not able to edit this role; it belongs to someone else!","Vous ne pouvez pas modifier ce rôle ; il appartient à quelqu'un d'autre !","この役割は編集できません。それは他の人のものです！","Bạn không được phép sửa quyền này vì nó thuộc về người khác","您无法编辑此角色；它属于其他人！"
"core/acl/permissions::modified_success","Modified successfully","Modifié avec succès","正常に変更されました","Sửa thành công","修改成功"
"core/acl/permissions::create_success","Create successfully","Créer avec succès","正常に作成されました","Tạo thành công!","创建成功"
"core/acl/permissions::duplicated_success","Duplicated successfully","Dupliqué avec succès","正常に複製されました","Nhân bản thành công","成功复制"
"core/acl/permissions::options","Options","Options","オプション","Tùy chọn","选项"
"core/acl/permissions::access_denied_message","You are not allowed to do this action","Vous n'êtes pas autorisé à effectuer cette action","このアクションを実行することは許可されていません","Bạn không có quyền sử dụng chức năng này!","你不被允许执行此操作"
"core/acl/permissions::roles","Roles","Roles","役割","Quyền","角色"
"core/acl/permissions::role_permission","Roles And Permissions","Rôles et autorisations","役割と権限","Nhóm và phân quyền","角色和权限"
"core/acl/permissions::role_permission_description","View and update your roles and permissions","View and update your roles and permissions","役割と権限を表示および更新する","Xem và cập nhật vai trò và quyền của bạn","查看和更新您的角色和权限"
"core/acl/permissions::user_management","User Management","Gestion des utilisateurs","ユーザー管理","Quản lý người dùng hệ thống","用户管理"
"core/acl/permissions::super_user_management","Super User Management","Gestion des super-utilisateurs","スーパーユーザー管理","Quản lý người dùng cấp cao","超级用户管理"
"core/acl/permissions::action_unauthorized","This action is unauthorized.","Cette action n'est pas autorisée.","この行為は許可されていません。","Hành động này không được phép","此操作未经授权。"
"core/acl/users::delete_user_logged_in","Can't delete this user. This user is logged on!","Impossible de supprimer cet utilisateur. Cet utilisateur est connecté !","このユーザーは削除できません。このユーザーはログオンしています!","Không thể xóa người dùng đang đăng nhập hệ thống!","无法删除此用户。此用户已登录！"
"core/acl/users::no_select","Please select at least one record to take this action!","Veuillez sélectionner au moins un enregistrement pour effectuer cette action !","このアクションを実行するには、少なくとも 1 つのレコードを選択してください。","Hãy chọn ít nhất một trường để thực hiện hành động này!","请至少选择一条记录以执行此操作！"
"core/acl/users::lock_user_logged_in","Can't lock this user. This user is logged on!","Impossible de verrouiller cet utilisateur. Cet utilisateur est connecté !","このユーザーをロックできません。このユーザーはログオンしています!","Không thể khóa người dùng đang đăng nhập hệ thống!","无法锁定此用户。此用户已登录！"
"core/acl/users::update_success","Update status successfully!","Mise à jour du statut réussie !","ステータスが正常に更新されました。","Cập nhật trạng thái thành công!","更新状态成功！"
"core/acl/users::save_setting_failed","Something went wrong when save your setting","Un problème s'est produit lors de l'enregistrement des paramètres.","設定を保存するときに問題が発生しました","Có lỗi xảy ra khi lưu cài đặt của bạn","保存您的设置时出现了问题"
"core/acl/users::not_found","User not found","Utilisateur non trouvé","ユーザーが見つかりません","Không tìm thấy người dùng","用户未找到"
